key,wine_raw,vintage,format_ml,price,source,source_type,note
i paglieri roagna barbaresco gallina|2018|750,I Paglieri - Roagna Barbaresco Gallina,2018,750,175,Estimate based on sibling Roagna 2018 Barbaresco cru pricing,estimate,"Search returned tasting notes/rating (94) but no price. Estimated in line with sibling 2018 Roagna Barbaresco bottlings found this session (Faset $174, Paje $178)."
i paglieri roagna barbaresco paje|2018|750,I Paglieri - Roagna Barbaresco Paje,2018,750,178,"Wine-Searcher average retail, vintage-specific",ws_vintage,
i paglieri roagna barolo e la pira|2018|750,I Paglieri - Roagna Barolo e La Pira,2018,750,378,"Wine-Searcher average retail, vintage-specific",ws_vintage,"Wine-Searcher average $378, corroborated by Hi-Time Wine Cellars retail listing at $375."
jasmin cote rotie la giroflarie|2016|750,Jasmin Cote Rotie La Giroflarie,2016,750,60,"Wine-Searcher average retail, vintage-specific",ws_vintage,Snippet gave $60 tied specifically to the 2016 vintage/critic score; a separate general (all-vintage) average of $56 was also mentioned.
jean baptiste souillard crozes hermitage les baties|2018|750,Jean-Baptiste Souillard Crozes-Hermitage Les Baties,2018,750,55,Estimate based on sibling Souillard Crozes-Hermitage cuvee pricing,estimate,"No price surfaced for Les Baties (2018 or otherwise) in search results. Estimated using sibling cuvees from the same producer found this session (Les Habrards ~$54, Tenay ~$59)."
jean baptiste souillard crozes hermitage les habrards|2018|750,Jean-Baptiste Souillard Crozes-Hermitage Les Habrards,2018,750,54,"Wine-Searcher, general average (2018-specific pricing limited)",ws_allvintage,Search noted the 2018 vintage is listed on Wine-Searcher but specific pricing for that year is limited; used the general current price of $54.
jean baptiste souillard crozes hermitage tenay|2018|750,Jean-Baptiste Souillard Crozes-Hermitage Tenay,2018,750,59,"Wine-Searcher, general average",ws_allvintage,"Wine-Searcher listing price of ~$59 USD found, not explicitly confirmed as 2018-specific."
jean baptiste souillard saint joseph|2018|750,Jean-Baptiste Souillard Saint-Joseph,2018,750,,Insufficient data,insufficient,"Wine-Searcher lists a 2018 page (Janoune parcel) but the search snippet returned no price figure; producer makes several single-parcel bottlings (Janoune, Bergeron, L'Echirol) so no reliable single number to cite."
jean grivot vosne romanee|2016|750,Jean Grivot Vosne Romanee,2016,750,105,Estimate based on producer/appellation reputation (Domaine Jean Grivot village-level Vosne-Romanee),estimate,"Search only surfaced a price for the Les Beaux Monts 1er Cru bottling ($298), a different wine from the village-level Vosne-Romanee in this lot; used a reasoned estimate instead of misapplying the premier cru figure."
jean luc colombo cornas les mejeans|2001|750,Jean-Luc Colombo Cornas Les Mejeans,2001,750,50,"Estimate based on producer/appellation reputation (Colombo Cornas Les Mejeans, mature vintage)",estimate,No price surfaced in search snippet (only a CellarTracker score); estimate reflects typical Colombo Cornas single-vineyard pricing.
jean luc colombo cote rotie la divine|2004|750,Jean-Luc Colombo Cote Rotie La Divine,2004,750,60,"Estimate based on producer/appellation reputation (Colombo Cote Rotie La Divine, lighter 2004 vintage)",estimate,"No price in snippet; note described 2004 as a lighter/delicate vintage, so estimate set below typical current-release pricing for this cuvee."
jean marc boillot volnay pitures|2006|750,Jean-Marc Boillot Volnay Pitures,2006,750,108,"Wine-Searcher average retail, all-vintage average (vintage-specific price not shown in snippet)",ws_allvintage,Snippet gave an average price of $108/750ml for Domaine Jean-Marc Boillot Volnay 1er Cru Pitures without breaking out 2006 specifically.
jean marc pillot saint romain la periere|2016|750,Jean-Marc Pillot Saint-Romain La Periere,2016,750,40,Estimate based on producer/appellation reputation (Pillot Saint-Romain white Burgundy),estimate,No price in snippet (only a critic score of 89); estimate reflects typical pricing for this well-regarded but modest appellation.
jean michel guillon gevrey chambertin les crais|2018|750,Jean-Michel Guillon Gevrey-Chambertin Les Crais,2018,750,55,Estimate based on producer/appellation reputation (Guillon Gevrey-Chambertin village lieu-dit),estimate,No price in snippet despite a wine.com listing appearing in results; estimate reflects typical village-level Gevrey-Chambertin pricing.
joseph drouhin chablis vaudesir|2006|750,Joseph Drouhin Chablis Vaudésir,2006,750,85,"Estimate based on producer/appellation reputation (Drouhin Chablis Grand Cru Vaudesir, mature vintage)",estimate,No price in snippet (tasting notes only); estimate reflects typical Grand Cru Chablis pricing for an aged bottle.
laleure piot corton bressandes|1981|750,Laleure-Piot Corton Bressandes,1981,750,,Insufficient data,insufficient,"Only current-release pricing found (~$145/750ml for a recent vintage); a 45-year-old bottle's value is too condition/provenance-dependent to extrapolate reliably from that figure, so left unpriced."
larmandier bernier latitude|NV|750,Larmandier-Bernier Latitude,NV,750,82,Wine-Searcher average retail,ws_vintage,NV Blanc de Blancs Extra Brut; snippet gave average price $82/750ml directly.
le chemin du roi brut rose|NV|750,Le Chemin du Roi Brut Rosé,NV,750,311,Wine-Searcher average retail,ws_vintage,Snippet gave average price (ex-tax) of $311/750ml directly for this NV Rose Champagne.
le chemin du roi brut|NV|375,Le Chemin du Roi Brut,NV,375,94,"Wine-Searcher average retail, scaled from 750ml",ws_vintage,Wine-Searcher gave $188 average price for the 750ml format; scaled proportionally by volume to 375ml (188 x 0.5 = 94).
le vieux donjon chateauneuf du pape|2008|1500,Le Vieux Donjon Châteauneuf-du-Pape,2008,1500,165,"Wine-Searcher average retail (all-vintage average), scaled to magnum",ws_allvintage,Snippet gave a general average of $75/750ml across vintages (not 2008-specific); scaled to magnum using the 2.2x premium rule (75 x 2.2 = 165).
le vieux donjon chateauneuf du pape|2009|750,Le Vieux Donjon Châteauneuf-du-Pape,2009,750,49,"Wine-Searcher average retail, vintage-specific",ws_vintage,Snippet cited 2009 vintage directly with a 93/100 score and average price of $49/750ml.
le vieux donjon chateauneuf du pape|2010|750,Le Vieux Donjon Châteauneuf-du-Pape,2010,750,75,"Wine-Searcher average retail, vintage-specific",ws_vintage,"Snippet discussed 2010 vintage specifically (top vintage, WS Top 100) and gave average price ~$75/750ml."
le vieux donjon chateauneuf du pape|2015|750,Le Vieux Donjon Châteauneuf-du-Pape,2015,750,71,"Wine-Searcher average retail, vintage-specific",ws_vintage,Snippet stated '2015 vintage specifically... rating of 93/100 and priced at approximately $71.'
le vieux donjon chateauneuf du pape|2016|1500,Le Vieux Donjon Châteauneuf-du-Pape,2016,1500,165,"Wine-Searcher average retail, vintage-specific, scaled to magnum",ws_vintage,Snippet gave 2016 USA average price of $75/750ml; scaled to magnum using 2.2x rule (75 x 2.2 = 165).
le vieux donjon chateauneuf du pape|2016|750,Le Vieux Donjon Châteauneuf-du-Pape,2016,750,75,"Wine-Searcher average retail, vintage-specific",ws_vintage,Snippet gave USA average price of $75/750ml for 2016 (also noted €56 in Germany).
le vieux donjon chateauneuf du pape|2017|1500,Le Vieux Donjon Châteauneuf-du-Pape,2017,1500,156.2,"Wine-Searcher average retail, vintage-specific, scaled to magnum",ws_vintage,Snippet gave 2017 California average price of $71/750ml; scaled to magnum using 2.2x rule (71 x 2.2 = 156.2).
le vieux donjon chateauneuf du pape|2017|750,Le Vieux Donjon Châteauneuf-du-Pape,2017,750,71,"Wine-Searcher average retail, vintage-specific",ws_vintage,Snippet gave 2017 California average price of $71/750ml (also noted €34 in Europe).
le vieux donjon chateauneuf du pape|2019|1500,Le Vieux Donjon Châteauneuf-du-Pape,2019,1500,169.4,"Wine-Searcher average retail, vintage-specific (750ml base scaled to magnum)",ws_vintage,Scaled from 750ml WS average price $77 x 2.2 magnum premium factor = $169.40
le vieux donjon chateauneuf du pape|2019|750,Le Vieux Donjon Châteauneuf-du-Pape,2019,750,77,"Wine-Searcher average retail, vintage-specific",ws_vintage,
le vieux donjon chateauneuf du pape|2020|1500,Le Vieux Donjon Châteauneuf-du-Pape,2020,1500,147.4,"Wine-Searcher average retail, vintage-specific (750ml base scaled to magnum)",ws_vintage,Scaled from 750ml WS average price $67 x 2.2 magnum premium factor = $147.40
le vieux donjon chateauneuf du pape|2021|750,Le Vieux Donjon Châteauneuf-du-Pape,2021,750,66,"Wine-Searcher average retail, vintage-specific",ws_vintage,
lopez de heredia rioja vina tondonia gran reserva rosado|2011|750,Lopez de Heredia Rioja Vina Tondonia Gran Reserva Rosado,2011,750,151,"Wine-Searcher average retail, vintage-specific",ws_vintage,Search also referenced a wider Gran Reserva line range up to $528; used the $151 figure directly tied to this 2011 Rosado.
louis chenu savigny les beaune les saucours|2021|750,Louis Chenu Savigny-les-Beaune Les Saucours,2021,750,,Insufficient data,insufficient,"Search returned tasting/production notes only, no price figure found for this wine."
louis jadot domaine des heritiers corton pougets|1981|750,Louis Jadot Domaine des  Héritiers Corton Pougets,1981,750,,Insufficient data,insufficient,"Search confirmed WS tracks this wine but returned no usable price for the 1981 vintage; only modern vintages (2015, 2016, 2018, 2020) had visible pricing, too far off to use as adjacent."
louis jadot domaine des heritiers corton pougets|2015|750,Louis Jadot Domaine des  Héritiers Corton Pougets,2015,750,165,"Wine-Searcher average retail, vintage-specific",ws_vintage,
louis roederer brut collection 243|NV|750,Louis Roederer Brut Collection 243,NV,750,73,"Wine-Searcher average retail, Collection 243 edition-specific",ws_vintage,
louis roederer brut collection|NV|750,Louis Roederer Brut Collection,NV,750,67,"Wine-Searcher average retail, all-edition average",ws_allvintage,Lot name does not specify a Collection edition number; used the general NV Collection Brut average ($67). Individual numbered editions ranged $66-82 in the search results.
louis roederer brut vintage|2016|750,Louis Roederer Brut Vintage,2016,750,104,"Wine-Searcher average retail, vintage-specific",ws_vintage,
luciano sandrone barbera d alba|2016|750,Luciano Sandrone Barbera d' Alba,2016,750,45,"Wine-Searcher-sourced average store price, not clearly vintage-dated",ws_allvintage,Snippet cited the 2016 wine's 90pt critic score but the ~$45 price appeared as a general store-average figure not explicitly tied to the 2016 vintage.
luciano sandrone barolo aleste|2014|750,Luciano Sandrone Barolo Aleste,2014,750,275,"Wine-Searcher average retail, vintage-specific",ws_vintage,
luciano sandrone barolo le vigne|2012|750,Luciano Sandrone Barolo Le Vigne,2012,750,124,"Wine-Searcher average retail, vintage-specific",ws_vintage,
luciano sandrone barolo le vigne|2013|750,Luciano Sandrone Barolo Le Vigne,2013,750,,Insufficient data,insufficient,Search returned tasting notes and retailer listing links but no usable price figure for the 2013 vintage.
luciano sandrone barolo le vigne|2014|750,Luciano Sandrone Barolo Le Vigne,2014,750,124,"Wine-Searcher average retail, vintage-specific",ws_vintage,
lucien boillot and fils gevrey chambertin les cherbaudes|2008|750,Lucien Boillot & Fils Gevrey-Chambertin Les Cherbaudes,2008,750,179,"Wine-Searcher average retail, vintage-specific",ws_vintage,
luigi baudana barolo baudana|2016|750,Luigi Baudana Barolo Baudana,2016,750,95,"Wine-Searcher average retail, vintage-specific",ws_vintage,
lupe cholet nuits st georges chateau gris|1983|750,Lupe-Cholet Nuits-St.-Georges Chateau Gris,1983,750,350.99,"Wine.com retail listing (historical, now sold out)",ws_single_retailer,No Wine-Searcher price found for this old vintage. Used a past Wine.com listing price of $350.99; item is now sold out so this may not reflect current market value.
m chapoutier cote rotie la mordoree|1993|750,M. Chapoutier Cote-Rotie La Mordoree,1993,750,161,"Wine-Searcher average retail, vintage-specific",ws_vintage,
m chapoutier cote rotie la mordoree|1994|750,M. Chapoutier Cote-Rotie La Mordoree,1994,750,202,"Wine-Searcher, vintage-specific average retail",ws_vintage,Search snippet stated 1994 vintage rated 92pts with average price around $202/bottle.
m chapoutier cote rotie la mordoree|1995|750,M. Chapoutier Cote-Rotie La Mordoree,1995,750,202,"Wine-Searcher, adjacent vintage (1994) used",ws_adjacent,No 1995-specific price surfaced in search snippet; used 1994 vintage-specific WS price of $202 as adjacent proxy.
m chapoutier cote rotie la mordoree|1998|750,M. Chapoutier Cote-Rotie La Mordoree,1998,750,204,"Wine-Searcher, all-vintage average",ws_allvintage,Snippet gave 1998 critic score (92) but only an all-vintage average price of $204/750ml; no 1998-specific price found.
m marengo barolo brunate|2015|750,M. Marengo Barolo Brunate,2015,750,61,"Wine-Searcher, vintage-specific average retail (ex-tax)",ws_vintage,
m marengo barolo|2016|750,M. Marengo Barolo,2016,750,50,"Wine-Searcher, vintage-specific average retail (ex-tax)",ws_vintage,Two WS listings shown for 2016 ($45 and $59); used midpoint of $50.
maison la berthaude chateauneuf du pape vignes centenaires reserve v v|2018|750,Maison la Berthaude Châteauneuf-du-Pape Vignes Centenaires Reserve V.V.,2018,750,65,Estimate based on producer/appellation/cuvee quality; no price surfaced in search,estimate,Search returned tasting notes and retailer/CT/WineBid links but no extractable price figure. Estimated from typical pricing of premium old-vine CDP cuvees of this caliber.
maison les alexandrins crozes hermitage blanc|2019|750,Maison Les Alexandrins Crozes-Hermitage Blanc,2019,750,26,"Wine-Searcher, single-country retail listing (Switzerland, 23 CHF)",ws_single_retailer,Only a CHF-denominated WS listing found (23 CHF); converted to USD at ~1.15 CHF/USD.
marchand grillot bourgogne grand ordinaire en bollery|2010|750,Marchand-Grillot Bourgogne Grand Ordinaire En Bollery,2010,750,30,"Wine-Searcher, adjacent/recent-vintage average",ws_adjacent,Snippet stated 2010 vintage has no WS pricing/scores; used recent-vintage WS average of ~$30 as proxy.
marchand grillot gevrey chambertin en songe|2009|750,Marchand-Grillot Gevrey Chambertin En Songe,2009,750,,Insufficient data,insufficient,Search returned only general producer/appellation info; no price figure for this wine or vintage found.
marchand grillot gevrey chambertin petite chapelle|2009|750,Marchand-Grillot Gevrey-Chambertin Petite Chapelle,2009,750,157,"Wine-Searcher, all-vintage average (vintage not confirmed as 2009)",ws_allvintage,Snippet gave a WS price of $157 for Petite Chapelle Premier Cru but did not confirm it was tied to the 2009 vintage specifically.
marchesi antinori castello della sala cervaro della sala chardonnay|2020|750,Marchesi Antinori Castello della Sala Cervaro della Sala Chardonnay,2020,750,76,"Wine-Searcher, vintage-specific average retail (ex-tax)",ws_vintage,
marchesi antinori chianti classico marchese antinori riserva|2003|1500,Marchesi Antinori Chianti Classico Marchese Antinori Riserva,2003,1500,,Insufficient data,insufficient,"No price found for 2003 (or any vintage) in search results; only production/history background surfaced. Wine is a 1.5L magnum, but no base price was available to scale."
moccagatta barbaresco bric balin|2016|750,Moccagatta Barbaresco Bric Balin,2016,750,65,"Wine-Searcher, vintage-specific average retail (ex-tax)",ws_vintage,
moet et chandon brut imperial|NV|750,Moet et Chandon Brut Imperial,NV,750,45,Estimate based on general market knowledge; no price surfaced in search,estimate,"Search returned only descriptive/production info, no numeric price. Estimated from well-known typical US retail price for this widely-distributed NV Champagne."
moet et chandon grand vintage|2012|750,Moet et Chandon Grand Vintage,2012,750,108,"Wine-Searcher, vintage-specific average retail (ex-tax)",ws_vintage,
mongeard mugneret nuits st georges les plateaux|2018|750,Mongeard-Mugneret Nuits-St.-Georges Les Plateaux,2018,750,152,"Single reputable retailer listing (Vinissimus UK, GBP 119.60)",ws_single_retailer,No WS price surfaced; used single-retailer price of GBP 119.60 converted to USD at ~1.27 GBP/USD.
monteverro toscana terra di monteverro|2018|750,Monteverro Toscana Terra di Monteverro,2018,750,51,"Wine-Searcher, vintage-specific average retail",ws_vintage,
montevertine|2018|750,Montevertine,2018,750,102,"Wine-Searcher, vintage-specific average retail (ex-tax)",ws_vintage,
morey blanc aloxe corton les vercots|2004|750,Morey-Blanc Aloxe-Corton Les Vercots,2004,750,,Insufficient data,insufficient,Search returned only general appellation/producer background; no price for the 2004 vintage or wine found.
morey blanc meursault genevrieres|2003|750,Morey-Blanc Meursault Genevrieres,2003,750,,Insufficient data,insufficient,"Search returned only general vineyard/producer background and adjacent-vintage (2002, 2006) listing titles with no price figures; no usable price found."
morey blanc meursault gouttes d or|2004|750,Morey-Blanc Meursault Gouttes d'Or,2004,750,175,Estimate based on Morey-Blanc Meursault village pricing plus premier cru premium for Gouttes d'Or vineyard,estimate,"Search returned only descriptive/production info for this cuvee, no numeric price. Related search found Morey-Blanc village Meursault averaging ~$143/750ml; estimated premium for 1er cru Gouttes d'Or designation over village level."
morey blanc meursault|2004|750,Morey-Blanc Meursault,2004,750,143,"Wine-Searcher average retail, appears to reflect this wine but not confirmed vintage-specific",ws_allvintage,Snippet stated 'average price for Morey-Blanc wines is around $143/750ml' without confirming it was pulled from the 2004 vintage page specifically; treated as an all-vintage/producer-level average.
morey blanc saint aubin 1er cru|2006|750,Morey-Blanc Saint Aubin 1er Cru,2006,750,70,Estimate based on typical Morey-Blanc negociant 1er cru Saint-Aubin pricing,estimate,No numeric price surfaced in search (only production/blend description). Estimated from general knowledge of Morey-Blanc/Pierre Morey negociant 1er cru white Burgundy pricing tiers.
morey blanc volnay santenots|2003|750,Morey-Blanc Volnay Santenots,2003,750,85,Estimate based on typical Volnay 1er Cru Santenots red Burgundy pricing,estimate,Search returned critic score (90/100) and tasting notes but no price figure. Estimated from general knowledge of Volnay 1er cru pricing for a well-regarded negociant bottling; this was the final Morey-Blanc vintage of this wine before the label transitioned to Domaine Pierre Morey.
nervi conterno gattinara|2015|1500,Nervi Conterno Gattinara,2015,1500,211.2,"Wine-Searcher all-vintage average retail ($96/750ml), scaled to magnum",ws_allvintage,"No 2015-specific price found; used Wine-Searcher's cross-vintage average of $96/750ml for standard Nervi-Conterno Gattinara, scaled to 1500ml at 2.2x (magnum premium): 96 x 2.2 = 211.20."
nervi conterno gattinara|2016|1500,Nervi Conterno Gattinara,2016,1500,167.2,"Wine-Searcher average retail, vintage-specific ($76/750ml), scaled to magnum",ws_vintage,2016 vintage 750ml average was $76 (ex-tax) per Wine-Searcher. Scaled to 1500ml at 2.2x magnum premium: 76 x 2.2 = 167.20.
nervi conterno gattinara|2016|750,Nervi Conterno Gattinara,2016,750,76,"Wine-Searcher average retail, vintage-specific",ws_vintage,2016 vintage average price (ex-tax) $76/750ml per Wine-Searcher.
nicolas joly savennieres les vieux clos|2020|750,Nicolas Joly Savennieres Les Vieux Clos,2020,750,55,Estimate based on typical US retail pricing for this cuvee,estimate,Search returned tasting/production notes and multiple retailer listing links but no explicit price figure in the snippet text. Estimated from general knowledge of this biodynamic Loire Chenin Blanc's typical US retail range.
nikolaihof gruner veltliner hefeabzug screwcap|2019|750,Nikolaihof Grüner Veltliner Hefeabzug (Screwcap),2019,750,34,"Wine-Searcher average retail, likely all-vintage average",ws_allvintage,Snippet gave 'average price (ex-tax) is $34/750ml' in the context of the 2019 search but did not explicitly confirm it was a vintage-specific pull; treated conservatively as an all-vintage average.
nikolaihof riesling smaragd vom stein|2011|750,Nikolaihof Riesling Smaragd Vom Stein,2011,750,55,Estimate based on typical Nikolaihof Smaragd Riesling pricing,estimate,No numeric price found in search results (only tasting notes and terroir description). Estimated from general knowledge of Nikolaihof top-tier Smaragd Riesling US retail pricing.
nikolaihof riesling smaragd vom stein|2014|750,Nikolaihof Riesling Smaragd Vom Stein,2014,750,58,Estimate based on typical Nikolaihof Smaragd Riesling pricing,estimate,No numeric price found in search results (only CellarTracker score and tasting notes). Estimated from general knowledge of Nikolaihof top-tier Smaragd Riesling US retail pricing.
nikolaihof riesling steiner hund|2012|750,Nikolaihof Riesling Steiner Hund,2012,750,68.84,"Single Miami retailer listing, vintage-specific",ws_single_retailer,Search snippet: '2012 vintage was listed at $68.84 at a Miami retailer.'
numanthia termes termanthia|2010|750,Numanthia-Termes Termanthia,2010,750,273,"Wine-Searcher average retail, vintage-specific",ws_vintage,Snippet: '2010 Termanthia received a score of 92/100 with a price point of $273.' A WineBid case listing at ~$175/bottle was also mentioned but the $273 figure reads as the Wine-Searcher market average.
olga raffault chinon champ chenin blanc|2013|750,Olga Raffault Chinon Champ-Chenin Blanc,2013,750,48,"Wine-Searcher average retail, vintage not explicitly confirmed",ws_allvintage,"Snippet: 'Wine-Searcher shows the Olga Raffault Chinon Champ-Chenin from Loire, France with an average price of $48/750ml,' without explicit vintage confirmation; treated as all-vintage average."
olga raffault chinon le champ chenin|2013|750,Olga Raffault Chinon Le Champ-Chenin,2013,750,48,"Wine-Searcher average retail, vintage not explicitly confirmed",ws_allvintage,Same wine as 'Olga Raffault Chinon Champ-Chenin Blanc' 2013 record in this batch (alternate export naming for identical cuvee/vintage). Reused that record's price ($48) rather than spending an additional search per the one-search-per-wine budget.
olga raffault chinon les picasses|2008|750,Olga Raffault Chinon Les Picasses,2008,750,66,"Wine-Searcher average retail, 2008 vintage context",ws_allvintage,"Snippet: 'The average price is $66 per 750ml, though it can be found around $50 USD' in the context of the 2008-specific search results; not explicitly confirmed as vintage-locked so treated as an average."
olga raffault chinon les picasses|2009|750,Olga Raffault Chinon Les Picasses,2009,750,73,"Multiple retailer listings, vintage-specific ($69.99-$75.99)",ws_vintage,Snippet: 'the 2009 vintage is available for around $69.99-$75.99 USD at various retailers' per Wine-Searcher; used midpoint ~$73.
olivier leflaive chassagne montrachet rouge|1988|750,Olivier Leflaive Chassagne-Montrachet (Rouge),1988,750,,Insufficient data,insufficient,"Search returned only general producer history; no pricing, availability, or market data at all for this specific old (1988) vintage/cuvee. Too old and obscure a bottling to responsibly estimate."
ostertag pinot gris zellberg|2018|750,Ostertag Pinot Gris Zellberg,2018,750,37,"Single retailer listing (grandsbourgognes.com), vintage-specific, converted from EUR",ws_single_retailer,Snippet: '2018 vintage is priced at €34.00 for a 75 cl bottle' at one European retailer. Converted at approx. 1.09 USD/EUR: 34 x 1.09 ≈ $37.
ostertag riesling fronholz|2018|750,Ostertag Riesling Fronholz,2018,750,51,"Wine-Searcher average retail, vintage-specific",ws_vintage,Search query targeted the 2018 vintage specifically; snippet: 'The average price (ex-tax) is $51 per 750ml bottle.'
ostertag riesling heissenberg|2018|750,Ostertag Riesling Heissenberg,2018,750,65,"Wine-Searcher average retail, vintage-specific (USA avg)",ws_vintage,
paolo bea montefalco sagrantino secco cerrete|2015|750,Paolo Bea Montefalco Sagrantino Secco Cerrete,2015,750,193,"Wine-Searcher average retail, vintage-specific",ws_vintage,
paolo manzone barolo meriame|2017|750,Paolo Manzone Barolo Meriame,2017,750,43,"Wine-Searcher average retail, vintage-specific",ws_vintage,
pascal clement bourgogne pinot noir|2016|750,Pascal Clément Bourgogne Pinot Noir,2016,750,51,"Wine-Searcher average retail, all-vintage average",ws_allvintage,"Snippet gave a general average for this bottling, not tied to a specific vintage; no 2016-specific figure found."
pascal clement bourgogne pinot noir|2017|750,Pascal Clément Bourgogne Pinot Noir,2017,750,51,"Wine-Searcher average retail, all-vintage average",ws_allvintage,"Snippet gave a general average for this bottling, not tied to a specific vintage; no 2017-specific figure found."
patrick et martine jacob girard pernand vergelesses|2009|750,Patrick et Martine Jacob-Girard Pernand Vergelesses,2009,750,,Insufficient data,insufficient,"No Wine-Searcher, retailer, or auction listing found for this producer/wine; search returned only unrelated Girard-named Pernand-Vergelesses producers."
patrick et martine jacob girard savigny aux gravains|2009|1500,Patrick et Martine Jacob-Girard Savigny Aux Gravains,2009,1500,,Insufficient data,insufficient,Search confirmed the producer/wine exists but returned no numeric price for any format or vintage.
patrick et martine jacob girard savigny aux gravains|2009|750,Patrick et Martine Jacob-Girard Savigny Aux Gravains,2009,750,,Insufficient data,insufficient,Search confirmed the producer/wine exists but returned no numeric price for any format or vintage.
patrick et martine jacob girard savigny hauts jarrons|2009|1500,Patrick et Martine Jacob-Girard Savigny Hauts Jarrons,2009,1500,109.89,"Single retailer listing (Woodland Hills Wine Company), $49.95",ws_single_retailer,"Retailer listing did not confirm bottle size, assumed 750ml base price of $49.95; scaled x2.2 for magnum = $109.89."
patrick et martine jacob girard savigny les beaune|2009|1500,Patrick et Martine Jacob-Girard Savigny-Les-Beaune,2009,1500,,Insufficient data,insufficient,Search returned only unrelated Domaine Jean-Jacques Girard listings (different producer); no price found for Jacob-Girard bottling.
patrick et martine jacob girard savigny les beaune|2009|750,Patrick et Martine Jacob-Girard Savigny-Les-Beaune,2009,750,,Insufficient data,insufficient,Search returned only unrelated Domaine Jean-Jacques Girard listings (different producer); no price found for Jacob-Girard bottling.
patrick et martine jacob girard savigny les marconnets|2009|1500,Patrick et Martine Jacob-Girard Savigny Les Marconnets,2009,1500,,Insufficient data,insufficient,Retailer listing (Woodland Hills Wine Company) found but no price appeared in the snippet.
paul jaboulet aine cornas domaine de saint pierre|2000|750,Paul Jaboulet Aine Cornas Domaine de Saint Pierre,2000,750,66,"Wine-Searcher average retail, all-vintage average",ws_allvintage,No 2000-specific price surfaced; used the general Wine-Searcher average (~$66) as a proxy since 2000 was confirmed as a listed vintage.
perrier jouet grand brut label 7|NV|750,Perrier-Jouet Grand Brut (Label #7),NV,750,64,"Wine-Searcher average retail, USA average",ws_vintage,"NV product; USA average price ranged $63-65 across regional snippets, used $64 as midpoint."
pertimali brunello di montalcino sassetti livio|2010|750,Pertimali Brunello di Montalcino Sassetti Livio,2010,750,74,"Wine-Searcher average retail, vintage-specific",ws_vintage,
philippe alliet chinon coteau de noire|2018|750,Philippe Alliet Chinon Coteau de Noiré,2018,750,65,"Wine-Searcher average retail, vintage-specific",ws_vintage,
philippe alliet chinon l huisserie|2018|750,Philippe Alliet Chinon L'Huisserie,2018,750,23,"Wine-Searcher average retail, vintage-specific",ws_vintage,
philippe alliet chinon vieilles vignes|2018|750,Philippe Alliet Chinon Vieilles Vignes,2018,750,36,"Wine-Searcher average retail, vintage-specific",ws_vintage,
philippe dechelle cuvee quentin roosevelt|NV|750,Philippe Dechelle Cuvée Quentin Roosevelt,NV,750,,Insufficient data,insufficient,"Small grower-Champagne cuvee confirmed to exist (Vivino listing) but no numeric price found on Wine-Searcher, retailer, or auction sources."
pieropan soave classico la rocca|2019|750,Pieropan Soave Classico La Rocca,2019,750,32,Estimate based on producer/appellation knowledge (no price in search snippet),estimate,Search returned tasting notes and vineyard detail but no numeric price; estimated from known typical US retail range ($30-35) for this cru bottling.
pierre caillet pommard|1979|750,Pierre Caillet Pommard,1979,750,,Insufficient data,insufficient,"Search only turned up 'Bernard Caillet' Pommard Premier Cru listings on Wine-Searcher; could not confirm this is the same producer/domain as 'Pierre Caillet', and no 1979-specific data surfaced. Too risky to map pricing across an unconfirmed producer match for a 47-year-old wine."
pierre dubreuil fontaine corton bressandes|1981|750,Pierre Dubreuil-Fontaine Corton Bressandes,1981,750,180,"Estimate based on producer/appellation reputation (Domaine Dubreuil-Fontaine Corton Bressandes Grand Cru, no vintage-specific price data found)",estimate,"Wine-Searcher lists the wine and confirms 1981 as a tracked vintage, but no price figure appeared in the snippet. Estimated from general knowledge: Grand Cru Corton Bressandes from a well-regarded producer, 1981 being a lighter/underrated Burgundy vintage, secondary-market value for well-stored bottles typically in the $150-220 range."
pierre morey meursault les terres blanches|2006|750,Pierre Morey Meursault  Les Terres Blanches,2006,750,105,"Estimate based on comparable Pierre Morey Meursault village pricing (no explicit WS price in snippet, only 89/100 critic score)",estimate,"Search returned a Wine-Searcher listing and critic score (89/100) for the 2006 vintage but no dollar figure. Estimated using the same producer's regular 2005 Meursault, which priced at $103/750ml (ws_vintage, see sibling record), as this single-parcel bottling trades similarly."
pierre morey meursault les tessons|2005|750,Pierre Morey Meursault Les Tessons,2005,750,115,"Estimate based on comparable Pierre Morey Meursault pricing (no explicit WS price in snippet, only 92/100 critic score)",estimate,"Search found Wine-Searcher tracks this wine (92/100 score for 2005) but no price digits appeared. Estimated slightly above the producer's regular Meursault ($103/750ml, see sibling record) since Les Tessons is described as a premium, near-premier-cru-quality single vineyard."
pierre morey meursault|2005|750,Pierre Morey Meursault,2005,750,103,"Wine-Searcher average retail, vintage-specific",ws_vintage,Snippet: 'The average price is $103 per 750ml bottle (ex-tax)' for the 2005 Domaine Pierre Morey Meursault.
pierre morey monthelie|2006|750,Pierre Morey Monthélie,2006,750,55,"Estimate based on producer/appellation reputation (no explicit WS price in snippet, only 88/100 critic score)",estimate,"Wine-Searcher tracks the 2006 vintage (88/100 score) but no price figure surfaced. Monthélie is a lesser-known, lower-priced Cote de Beaune village compared to Meursault; estimated in the typical $45-65 range for a domaine-level red from a solid producer."
